Winner,Team1,T1_Player1,T1_Player2,T1_Player3,T1_Player4,T1_Player5,Team2,T2_Player1,T2_Player2,T2_Player3,T2_Player4,T2_Player5,Team1_Score,Team2_Score,Map
Spirit,Spirit,DavCost,sdy,COLDYY1,Dima,S0tF1k,forZe,facecrack,liTTle,BAS,Jerry,kUcheR,Overpass
TYLOO,TYLOO,somebody,captainMo,BnTeT,xccurate,DD,MVP PK,XigN,solo,HSK,glow,zeff,Inferno
MVP PK,TYLOO,BnTeT,DD,xccurate,captainMo,somebody,MVP PK,XigN,HSK,solo,zeff,glow,Mirage
TYLOO,TYLOO,somebody,DD,BnTeT,xccurate,captainMo,MVP PK,XigN,zeff,HSK,solo,glow,Cobblestone
Virtus.pro,Virtus.pro,pashaBiceps,NEO,Snax,byali,TaZ,Quantum Bellator Fire,Kvik,waterfaLLZ,jmqa,balblna,Boombl4,Cache
Liquid,BIG,tabseN,keev,LEGIJA,gob b,nex,Liquid,Twistzz,jdm64,EliGE,nitr0,zews,Inferno
fnatic,fnatic,JW,Lekr0,KRIMZ,Golden,flusha,FaZe,olofmeister,NiKo,GuardiaN,rain,karrigan,Cache
Astralis,Astralis,Kjaerbye,Xyp9x,dupreeh,device,gla1ve,MOUZ,oskar,suNny,ropz,STYKO,chrisJ,Cache
G2,Cloud9,tarik,RUSH,Stewie2K,autimatic,Skadoodle,G2,NBK-,apEX,kennyS,shox,bodyy,Cache
Gambit,Gambit,AdreN,Dosia,Hobbit,mou,fitch,Natus Vincere,s1mple,Edward,flamie,Zeus,electronic,Nuke
Athletico,ORDER,Sico,emagine,aliStair,Hatz,Liazz,Athletico,NikkeZ,MoeycQ,flickz,Sync,InfrequeNt,Inferno
ORDER,ORDER,Sico,Liazz,Hatz,emagine,aliStair,Athletico,NikkeZ,flickz,MoeycQ,InfrequeNt,Sync,Mirage
TYLOO,TYLOO,captainMo,BnTeT,DD,xccurate,somebody,Signature,Geniuss,RoLEX,qqGOD,CigaretteS,Reality,Cobblestone
Signature,TYLOO,BnTeT,somebody,DD,captainMo,xccurate,Signature,Geniuss,CigaretteS,RoLEX,Reality,qqGOD,Cache
Bravado,Sinister5,dTm,dada,Pex,Rogue,Viktor,Bravado,Sonic,Detrony,Fadey,JT,ELUSIVE,Mirage
ALTERNATE aTTaX,HAVU,ottoNd,uli,xartE,KHRN,Aleksib,ALTERNATE aTTaX,syrsoN,tiziaN,ecfN,HUNDEN,stfN,Inferno
ALTERNATE aTTaX,HAVU,Aleksib,ottoNd,KHRN,uli,xartE,ALTERNATE aTTaX,ecfN,HUNDEN,tiziaN,stfN,syrsoN,Mirage
XCN,Capcorn,StevenH,RiseN,fleo,hazard,Tonny,XCN,kr0,wnd,blaZek1ng,bali,scRiN,Overpass
XCN,Capcorn,RiseN,fleo,StevenH,hazard,Tonny,XCN,wnd,bali,kr0,blaZek1ng,scRiN,Inferno
Power Ace,Power Ace,HearNs,hippien,Qzenberg,vezperS,MUu4K,Lucid Dream,Leaf,HSK,obi,JUSTCAUSE,Niffy,Inferno
Lucid Dream,Power Ace,vezperS,HearNs,Qzenberg,hippien,MUu4K,Lucid Dream,Niffy,JUSTCAUSE,obi,HSK,Leaf,Mirage
Quantum Bellator Fire,Quantum Bellator Fire,balblna,waterfaLLZ,jmqa,Boombl4,Kvik,Gambit,Dosia,AdreN,fitch,mou,Hobbit,Inferno
Vega Squadron,FaZe,GuardiaN,olofmeister,NiKo,rain,karrigan,Vega Squadron,hutji,chopper,mir,jR,keshandr,Train
Liquid,G2,NBK-,kennyS,shox,bodyy,apEX,Liquid,nitr0,Twistzz,EliGE,zews,jdm64,Inferno
MOUZ,SK,coldzera,fer,TACO,felps,FalleN,MOUZ,ropz,oskar,suNny,STYKO,chrisJ,Mirage
Virtus.pro,Virtus.pro,byali,TaZ,Snax,NEO,pashaBiceps,fnatic,KRIMZ,flusha,Golden,Lekr0,JW,Inferno
BIG,BIG,gob b,LEGIJA,nex,keev,tabseN,Natus Vincere,electronic,flamie,s1mple,Zeus,Edward,Inferno
Astralis,Astralis,dupreeh,Kjaerbye,device,gla1ve,Xyp9x,North,MSL,aizy,k0nfig,cajunb,valde,Train
Grayhound,Grayhound,Gratisfaction,dexter,erkaSt,BURNRUOk,DickStacy,ORDER,Sico,Hatz,emagine,Liazz,aliStair,Overpass
ORDER,Grayhound,erkaSt,BURNRUOk,dexter,Gratisfaction,DickStacy,ORDER,Hatz,Liazz,emagine,Sico,aliStair,Mirage
ORDER,Grayhound,dexter,Gratisfaction,BURNRUOk,DickStacy,erkaSt,ORDER,Sico,emagine,Liazz,aliStair,Hatz,Nuke
Bravado,Bravado,Sonic,ELUSIVE,Detrony,JT,Fadey,Energy,flexeeee,blackpoisoN,kanii,Domsterr,takbok,Mirage
Bravado,Bravado,Sonic,ELUSIVE,JT,Detrony,Fadey,Energy,Domsterr,takbok,blackpoisoN,flexeeee,kanii,Cache
Energy,Bravado,Fadey,JT,Sonic,Detrony,ELUSIVE,Energy,takbok,Domsterr,flexeeee,blackpoisoN,kanii,Inferno
Lucid Dream,XCN,blaZek1ng,scRiN,wnd,kr0,bali,Lucid Dream,HSK,JUSTCAUSE,obi,Niffy,Leaf,Mirage
Lucid Dream,XCN,wnd,kr0,scRiN,blaZek1ng,bali,Lucid Dream,obi,Leaf,Niffy,JUSTCAUSE,HSK,Inferno
Vega Squadron,MOUZ,oskar,chrisJ,suNny,STYKO,ropz,Vega Squadron,hutji,mir,chopper,jR,keshandr,Mirage
Liquid,Liquid,EliGE,nitr0,jdm64,Twistzz,zews,Natus Vincere,s1mple,electronic,flamie,Edward,Zeus,Overpass
Damage Control,Damage Control,Apocalypse,inciN,stYle,Hellhound,Explicit,Bravado,Sonic,Fadey,Detrony,ELUSIVE,JT,Train
Bravado,Damage Control,Apocalypse,Hellhound,inciN,Explicit,stYle,Bravado,Fadey,JT,Detrony,ELUSIVE,Sonic,Cobblestone
Bravado,Damage Control,Apocalypse,Hellhound,inciN,stYle,Explicit,Bravado,JT,Sonic,Fadey,ELUSIVE,Detrony,Mirage
Quantum Bellator Fire,Quantum Bellator Fire,waterfaLLZ,jmqa,Boombl4,Kvik,balblna,G2,bodyy,kennyS,shox,NBK-,apEX,Cache
