Date,Teams,Score,Map,Event,Series
11-1-18,"['Reason', 'ALTERNATE aTTaX']","['11', '16']",Inferno,DaddySkins Western League,11046
11-1-18,"['ALTERNATE aTTaX', 'Reason']","['16', '12']",Overpass,DaddySkins Western League,11046
12-1-18,"['No IdeA', 'Etab']","['5', '16']",Overpass,WESG 2017 Asia-Pacific Regional Finals Female,11045
12-1-18,"['Etab', 'No IdeA']","['16', '8']",Cache,WESG 2017 Asia-Pacific Regional Finals Female,11045
12-1-18,"['GameTV', 'BOOT-d[S]']","['14', '16']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11044
12-1-18,"['EMC', 'Recca']","['10', '16']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11043
12-1-18,"['K23 fe', 'Asterisk fe']","['12', '16']",Overpass,WESG 2017 Asia-Pacific Regional Finals Female,11042
12-1-18,"['Asterisk fe', 'K23 fe']","['19', '17']",Cache,WESG 2017 Asia-Pacific Regional Finals Female,11041
12-1-18,"['UTM', 'MAX']","['16', '11']",Cache,WESG 2017 Asia-Pacific Regional Finals,11040
12-1-18,"['MAX', 'EMC']","['16', '8']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11039
12-1-18,"['Recca', 'Mineski']","['16', '14']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11038
12-1-18,"['GameTV', 'SCARZ Absolute']","['5', '16']",Cobblestone,WESG 2017 Asia-Pacific Regional Finals,11037
12-1-18,"['Recca', 'MAX']","['11', '16']",Cache,WESG 2017 Asia-Pacific Regional Finals,11036
12-1-18,"['UTM', 'Mineski']","['19', '17']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11035
12-1-18,"['K23 fe', 'No IdeA']","['12', '16']",Inferno,WESG 2017 Asia-Pacific Regional Finals Female,11034
12-1-18,"['No IdeA', 'K23 fe']","['5', '16']",Mirage,WESG 2017 Asia-Pacific Regional Finals Female,11034
12-1-18,"['K23 fe', 'No IdeA']","['16', '6']",Overpass,WESG 2017 Asia-Pacific Regional Finals Female,11034
12-1-18,"['NSPR', 'BOOT-d[S]']","['14', '16']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11033
12-1-18,"['NSPR', 'GameTV']","['16', '7']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11032
12-1-18,"['BOOT-d[S]', 'SCARZ Absolute']","['16', '11']",Train,WESG 2017 Asia-Pacific Regional Finals,11031
12-1-18,"['EMC', 'Mineski']","['16', '14']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11030
12-1-18,"['Recca', 'UTM']","['16', '2']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11029
12-1-18,"['Asterisk fe', 'Etab']","['8', '16']",Cobblestone,WESG 2017 Asia-Pacific Regional Finals Female,11028
12-1-18,"['Etab', 'Asterisk fe']","['16', '14']",Cache,WESG 2017 Asia-Pacific Regional Finals Female,11028
12-1-18,"['NSPR', 'SCARZ Absolute']","['16', '12']",Cache,WESG 2017 Asia-Pacific Regional Finals,11027
12-1-18,"['Mineski', 'MAX']","['5', '16']",Nuke,WESG 2017 Asia-Pacific Regional Finals,11026
12-1-18,"['EMC', 'UTM']","['16', '9']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11025
12-1-18,"['Vega Squadron', 'Renegades']","['16', '14']",Mirage,ELEAGUE Major 2018 Challengers Stage,11024
12-1-18,"['AVANGAR', 'MOUZ']","['12', '16']",Mirage,ELEAGUE Major 2018 Challengers Stage,11023
12-1-18,"['Liquid', 'FaZe']","['14', '16']",Overpass,ELEAGUE Major 2018 Challengers Stage,11022
12-1-18,"['KoN Sweden', 'KoN Norway']","['16', '14']",Mirage,King of Nordic Season 9,11021
12-1-18,"['FlipSid3', 'Misfits']","['4', '16']",Overpass,ELEAGUE Major 2018 Challengers Stage,11020
12-1-18,"['KoN Finland', 'KoN Sweden']","['2', '16']",Mirage,King of Nordic Season 9,11019
12-1-18,"['Sprout', 'Space Soldiers']","['16', '11']",Cobblestone,ELEAGUE Major 2018 Challengers Stage,11018
12-1-18,"['KoN Denmark', 'KoN Sweden']","['2', '16']",Inferno,King of Nordic Season 9,11017
