Date,Team1,Team2,Score,Map,Event,Series
8-1-19,"['Izako Boars', 'tecek', 'matty', 'Patitek', 'NEEX', 'nawrot']","['Tricked', 'glace', 'Lukki', 'b0RUP', 'snedker', 'acoR']","['9', '16']",Cache,ESEA MDL Season 29 Europe Relegation,8299
8-1-19,"['EURONICS', 'kolor', 'maRky', 'crisby', 'znajder', 'kzy']","['unknown', 'Ryxxo', 'netrick', 'fr0slev', 'doktizh', 'dfen']","['22', '18']",Inferno,ESEA MDL Season 29 Europe Relegation,8298
8-1-19,"['EURONICS', 'kolor', 'crisby', 'znajder', 'kzy', 'maRky']","['unknown', 'doktizh', 'Ryxxo', 'dfen', 'fr0slev', 'netrick']","['14', '16']",Overpass,ESEA MDL Season 29 Europe Relegation,8298
8-1-19,"['x6tence Galaxy', 'nawwk', 'Plopski', 'ZINKEN', 'Bååten', 'BARBARR']","['HAVU', 'Twixie', 'sAw', 'zehN', 'ZOREE', 'disturbed']","['5', '16']",Dust2,ESEA MDL Season 29 Europe Relegation,8297
8-1-19,"['x6tence Galaxy', 'Plopski', 'Bååten', 'nawwk', 'ZINKEN', 'BARBARR']","['HAVU', 'zehN', 'sAw', 'ZOREE', 'disturbed', 'Twixie']","['13', '16']",Inferno,ESEA MDL Season 29 Europe Relegation,8297
8-1-19,"['x6tence Galaxy', 'BARBARR', 'ZINKEN', 'nawwk', 'Plopski', 'Bååten']","['HAVU', 'zehN', 'disturbed', 'ZOREE', 'Twixie', 'sAw']","['16', '5']",Nuke,ESEA MDL Season 29 Europe Relegation,8297
8-1-19,"['ALTERNATE aTTaX', 'kressy', 'mantuu', 'DuDe', 'stfN', 'slaxz-']","['AGO', 'GruBy', 'SZPERO', 'phr', 'Furlan', 'kaper']","['16', '6']",Overpass,United Masters League,8296
8-1-19,"['ALTERNATE aTTaX', 'mantuu', 'slaxz-', 'kressy', 'DuDe', 'stfN']","['AGO', 'GruBy', 'kaper', 'phr', 'Furlan', 'SZPERO']","['16', '3']",Inferno,United Masters League,8296
8-1-19,"['Valiance', 'nexa', 'ottoNd', 'huNter-', 'EspiranTo', 'LETN1']","['Vitality', 'ZywOo', 'RpK', 'ALEX', 'apEX', 'NBK-']","['20', '22']",Inferno,ESEA MDL Season 29 Europe Relegation,8295
8-1-19,"['Valiance', 'huNter-', 'EspiranTo', 'nexa', 'LETN1', 'ottoNd']","['Vitality', 'ZywOo', 'apEX', 'NBK-', 'ALEX', 'RpK']","['16', '11']",Mirage,ESEA MDL Season 29 Europe Relegation,8295
8-1-19,"['Arena Bulls', 'sterben', 'ELOSSA', 'bishop', 'l0gicman', 'KEY']","['Smoke Criminals', 'krii', 'raw', 'Fearoth', 'lainNy', 'PetitSkel']","['5', '16']",Inferno,ESEA MDL Season 29 Europe Relegation,8294
8-1-19,"['Arena Bulls', 'bishop', 'l0gicman', 'KEY', 'ELOSSA', 'sterben']","['Smoke Criminals', 'lainNy', 'krii', 'raw', 'Fearoth', 'PetitSkel']","['16', '11']",Nuke,ESEA MDL Season 29 Europe Relegation,8294
8-1-19,"['x6tence Galaxy', 'BARBARR', 'ZINKEN', 'Bååten', 'nawwk', 'Plopski']","['Spirit', 'sdy', 'DavCost', 'COLDYY1', 'Dima', 'S0tF1k']","['16', '10']",Overpass,ESEA MDL Season 29 Europe Relegation,8293
