,Winner,Team1,Team2,Team1_Score,Team2_Score,Map
6861,Copenhagen Flames,Arena Bulls,Copenhagen Flames,16,8,Mirage
6862,Heretics,Copenhagen Flames,Heretics,11,16,Nuke
6863,Copenhagen Flames,SJ,Copenhagen Flames,16,6,Inferno
6864,Syman,Copenhagen Flames,Syman,16,4,Train
6865,SJ,SJ,Copenhagen Flames,25,23,Vertigo
6866,Unicorns of Love,Copenhagen Flames,Unicorns of Love,10,16,Inferno
6867,OneThree,OneThree,Copenhagen Flames,16,10,Inferno
6868,Unicorns of Love,Copenhagen Flames,Unicorns of Love,10,16,Overpass
6869,OneThree,OneThree,Copenhagen Flames,16,14,Train
6870,Heretics,Copenhagen Flames,Heretics,16,9,Inferno
6871,STEP,STEP,Copenhagen Flames,5,16,Inferno
6872,Copenhagen Flames,Copenhagen Flames,Epsilon,7,16,Inferno
6873,AGF,AGF,Copenhagen Flames,5,16,Nuke
6874,Epsilon,Copenhagen Flames,Epsilon,12,16,Overpass
6875,Copenhagen Flames,SJ,Copenhagen Flames,16,7,Train
6876,Copenhagen Flames,Copenhagen Flames,Heretics,16,10,Overpass
6877,Copenhagen Flames,GamerLegion,Copenhagen Flames,16,5,Vertigo
6878,Heretics,Copenhagen Flames,Heretics,14,16,Mirage
6879,Vainox,Vainox,Copenhagen Flames,6,16,Nuke
6880,Copenhagen Flames,Copenhagen Flames,SJ,16,12,Nuke
6881,Unique,Unique,Copenhagen Flames,16,10,Nuke
6882,SJ,Copenhagen Flames,SJ,16,5,Train
6883,GamerLegion,GamerLegion,Copenhagen Flames,9,16,Vertigo
6884,Copenhagen Flames,Copenhagen Flames,Youngsters,3,16,Train
6885,GamerLegion,GamerLegion,Copenhagen Flames,16,10,Mirage
6886,Copenhagen Flames,Copenhagen Flames,Youngsters,6,16,Mirage
6887,SMASH,SMASH,Copenhagen Flames,16,12,Nuke
6888,Movistar Riders,Copenhagen Flames,Movistar Riders,17,19,Mirage
6889,Copenhagen Flames,Movistar Riders,Copenhagen Flames,13,16,Overpass
6890,FATE,Copenhagen Flames,FATE,11,16,Inferno
6891,Copenhagen Flames,HAVU,Copenhagen Flames,12,16,Overpass
6892,FATE,Copenhagen Flames,FATE,16,6,Train
6893,HAVU,HAVU,Copenhagen Flames,6,16,Inferno
6894,Bpro,Copenhagen Flames,Bpro,16,5,Overpass
6895,Warthox,Warthox,Copenhagen Flames,8,16,Overpass
6896,Copenhagen Flames,Copenhagen Flames,AVEZ,8,16,Mirage
6897,Virtus.pro,Virtus.pro,Copenhagen Flames,8,16,Inferno
6898,Illuminar,Copenhagen Flames,Illuminar,16,4,Nuke
6899,North,North,Copenhagen Flames,6,16,Overpass
6900,Illuminar,Copenhagen Flames,Illuminar,12,16,Inferno
6901,Copenhagen Flames,pro100,Copenhagen Flames,12,16,Inferno
6902,Copenhagen Flames,Copenhagen Flames,SJ,16,14,Mirage
6903,Tricked,Tricked,Copenhagen Flames,16,10,Overpass
6904,Izako Boars,Copenhagen Flames,Izako Boars,16,7,Train
6905,Copenhagen Flames,Nemiga,Copenhagen Flames,12,16,Overpass
6906,Izako Boars,Copenhagen Flames,Izako Boars,12,16,Nuke
6907,Copenhagen Flames,Nordavind,Copenhagen Flames,13,16,Inferno
6908,Copenhagen Flames,Copenhagen Flames,Izako Boars,16,14,Mirage
6909,Heretics,Heretics,Copenhagen Flames,16,10,Overpass
6910,Copenhagen Flames,Copenhagen Flames,Unique,16,14,Mirage
6911,Gambit Youngsters,Gambit Youngsters,Copenhagen Flames,16,11,Overpass
6912,Unique,Copenhagen Flames,Unique,16,2,Nuke
6913,Winstrike,Winstrike,Copenhagen Flames,16,11,Overpass
6914,Copenhagen Flames,Copenhagen Flames,HAVU,16,13,Mirage
6915,BIG,BIG,Copenhagen Flames,16,10,Inferno
6916,Copenhagen Flames,Copenhagen Flames,HAVU,16,14,Inferno
6917,Copenhagen Flames,GamerLegion,Copenhagen Flames,11,16,Nuke
6918,ex-Epsilon,Copenhagen Flames,ex-Epsilon,12,16,Inferno
6919,Copenhagen Flames,GamerLegion,Copenhagen Flames,16,6,Overpass
6920,ex-Epsilon,Copenhagen Flames,ex-Epsilon,16,5,Nuke
6921,Copenhagen Flames,SJ,Copenhagen Flames,13,16,Nuke
6922,ex-Epsilon,Copenhagen Flames,ex-Epsilon,16,9,Mirage
6923,Copenhagen Flames,Aristocracy,Copenhagen Flames,16,7,Nuke
6924,Copenhagen Flames,Copenhagen Flames,Illuminar,16,14,Vertigo
6925,Copenhagen Flames,HAVU,Copenhagen Flames,14,16,Nuke
6926,Illuminar,Copenhagen Flames,Illuminar,16,9,Dust2
6927,Copenhagen Flames,GamerLegion,Copenhagen Flames,11,16,Nuke
6928,OneThree,Copenhagen Flames,OneThree,16,5,Nuke
6929,Copenhagen Flames,Heroic,Copenhagen Flames,16,5,Nuke
6930,STEP,Copenhagen Flames,STEP,10,16,Nuke
6931,Heroic,Heroic,Copenhagen Flames,16,11,Mirage
6932,Copenhagen Flames,Copenhagen Flames,STEP,19,16,Train
6933,pro100,pro100,Copenhagen Flames,16,10,Inferno
6934,Nemiga,Copenhagen Flames,Nemiga,14,16,Inferno
6935,ARCY,ARCY,Copenhagen Flames,16,10,Overpass
6936,Nemiga,Copenhagen Flames,Nemiga,16,8,Vertigo
6937,Copenhagen Flames,Juggernauts,Copenhagen Flames,12,16,Vertigo
6938,Nemiga,Copenhagen Flames,Nemiga,14,16,Nuke
6939,Copenhagen Flames,pro100,Copenhagen Flames,16,8,Overpass
6940,Copenhagen Flames,Copenhagen Flames,AGF,16,11,Dust2
6941,Copenhagen Flames,ARCY,Copenhagen Flames,10,16,Overpass
6942,AGF,Copenhagen Flames,AGF,14,16,Mirage
6943,NAVI Junior,NAVI Junior,Copenhagen Flames,5,16,Overpass
6944,Copenhagen Flames,Copenhagen Flames,SJ,16,11,Mirage
6945,Copenhagen Flames,HellRaisers,Copenhagen Flames,16,5,Overpass
6946,Copenhagen Flames,Copenhagen Flames,SJ,8,16,Inferno
6947,Axis,Axis,Copenhagen Flames,16,14,Nuke
6948,Copenhagen Flames,Copenhagen Flames,GamerLegion,9,16,Dust2
6949,Copenhagen Flames,forZe,Copenhagen Flames,13,16,Overpass
6950,Vainox,Copenhagen Flames,Vainox,13,16,Inferno
6951,Copenhagen Flames,forZe,Copenhagen Flames,20,22,Nuke
6952,Vainox,Copenhagen Flames,Vainox,16,6,Vertigo
6953,Copenhagen Flames,AGF,Copenhagen Flames,16,8,Nuke
6954,Copenhagen Flames,Copenhagen Flames,Unique,16,10,Vertigo
6955,AGF,AGF,Copenhagen Flames,5,16,Inferno
6956,Unique,Copenhagen Flames,Unique,14,16,Train
6957,Copenhagen Flames,Sprout,Copenhagen Flames,13,16,Nuke
6958,Copenhagen Flames,Copenhagen Flames,GamerLegion,8,16,Dust2
6959,Copenhagen Flames,Sprout,Copenhagen Flames,12,16,Inferno
6960,Copenhagen Flames,Copenhagen Flames,ex-Epsilon,8,16,Nuke
6961,DreamEaters,DreamEaters,Copenhagen Flames,4,16,Overpass
6962,ex-Epsilon,Copenhagen Flames,ex-Epsilon,10,16,Inferno
6963,FiveG,FiveG,Copenhagen Flames,7,16,Inferno
6964,Syman,Copenhagen Flames,Syman,10,16,Mirage
6965,PACT,PACT,Copenhagen Flames,16,14,Train
6966,Movistar Riders,Copenhagen Flames,Movistar Riders,17,19,Nuke
6967,Copenhagen Flames,NAVI Junior,Copenhagen Flames,12,16,Inferno
6968,Copenhagen Flames,Copenhagen Flames,x6tence,16,10,Overpass
6969,Copenhagen Flames,Yoink,Copenhagen Flames,14,16,Inferno
6970,Copenhagen Flames,Copenhagen Flames,Movistar Riders,9,16,Train
6971,Illuminar,Illuminar,Copenhagen Flames,9,16,Nuke
6972,Copenhagen Flames,Copenhagen Flames,Movistar Riders,16,10,Inferno
6973,Copenhagen Flames,Secret,Copenhagen Flames,10,16,Mirage
6974,Copenhagen Flames,Copenhagen Flames,SKADE,22,19,Nuke
6975,Secret,Secret,Copenhagen Flames,7,16,Overpass
6976,Copenhagen Flames,Copenhagen Flames,SKADE,16,10,Train
6977,Copenhagen Flames,Spirit,Copenhagen Flames,12,16,Inferno
6978,HAVU,Copenhagen Flames,HAVU,13,16,Train
6979,Copenhagen Flames,Spirit,Copenhagen Flames,16,4,Mirage
6980,Apeks,Copenhagen Flames,Apeks,16,8,Nuke
6981,Copenhagen Flames,Wisla Krakow,Copenhagen Flames,12,16,Overpass
6982,Copenhagen Flames,Copenhagen Flames,Virtus.pro,16,13,Train
6983,Copenhagen Flames,Demolition Crew,Copenhagen Flames,16,19,Nuke
6984,Copenhagen Flames,Copenhagen Flames,North,16,12,Mirage
6985,FATE,FATE,Copenhagen Flames,8,16,Vertigo
6986,pro100,Copenhagen Flames,pro100,16,5,Mirage
6987,Copenhagen Flames,FATE,Copenhagen Flames,13,16,Inferno
6988,Copenhagen Flames,Copenhagen Flames,Tricked,8,16,Nuke
6989,AGO,AGO,Copenhagen Flames,8,16,Mirage
6990,Copenhagen Flames,Copenhagen Flames,Nemiga,16,12,Inferno
6991,Copenhagen Flames,AGO,Copenhagen Flames,16,8,Train
6992,Yalla,Copenhagen Flames,Yalla,16,7,Overpass
6993,Copenhagen Flames,AGO,Copenhagen Flames,13,16,Nuke
6994,Yalla,Copenhagen Flames,Yalla,16,8,Inferno
6995,Copenhagen Flames,AGO,Copenhagen Flames,16,8,Vertigo
6996,Copenhagen Flames,Copenhagen Flames,Aristocracy,16,13,Nuke
6997,Redemption POA,Redemption POA,Copenhagen Flames,7,16,Train
6998,Copenhagen Flames,Copenhagen Flames,Aristocracy,22,18,Overpass
6999,HAVU,HAVU,Copenhagen Flames,2,16,Overpass
7000,Nordavind,Copenhagen Flames,Nordavind,16,7,Vertigo
7001,Copenhagen Flames,Chaos,Copenhagen Flames,12,16,Nuke
7002,Copenhagen Flames,Copenhagen Flames,Gambit Youngsters,6,16,Inferno
7003,GODSENT,GODSENT,Copenhagen Flames,19,17,Nuke
7004,Copenhagen Flames,Copenhagen Flames,Heretics,7,16,Inferno
7005,GODSENT,GODSENT,Copenhagen Flames,16,13,Vertigo
7006,Copenhagen Flames,Copenhagen Flames,Gambit Youngsters,9,16,Mirage
7007,Copenhagen Flames,Sprout,Copenhagen Flames,12,16,Nuke
7008,Winstrike,Copenhagen Flames,Winstrike,16,2,Train
7009,Copenhagen Flames,Heroic,Copenhagen Flames,13,16,Train
7010,Copenhagen Flames,Copenhagen Flames,Winstrike,19,16,Nuke
7011,c0ntact,c0ntact,Copenhagen Flames,19,16,Nuke
7012,BIG,Copenhagen Flames,BIG,13,16,Mirage
7013,MAD Lions,MAD Lions,Copenhagen Flames,16,13,Nuke
7014,GamerLegion,Copenhagen Flames,GamerLegion,13,16,Inferno
7015,HAVU,HAVU,Copenhagen Flames,16,14,Overpass
7016,Copenhagen Flames,Copenhagen Flames,SJ,16,13,Inferno
7017,Copenhagen Flames,Cloud9,Copenhagen Flames,16,8,Dust2
7018,Aristocracy,Copenhagen Flames,Aristocracy,13,16,Train
7019,Cloud9,Cloud9,Copenhagen Flames,22,19,Overpass
7020,HAVU,Copenhagen Flames,HAVU,17,19,Train
7021,Copenhagen Flames,Endpoint,Copenhagen Flames,16,4,Dust2
7022,HAVU,Copenhagen Flames,HAVU,16,6,Overpass
7023,c0ntact,c0ntact,Copenhagen Flames,16,12,Nuke
7024,Copenhagen Flames,Copenhagen Flames,GamerLegion,19,16,Overpass
7025,Copenhagen Flames,GODSENT,Copenhagen Flames,13,16,Inferno
7026,Copenhagen Flames,Copenhagen Flames,Heroic,25,23,Inferno
7027,G2,G2,Copenhagen Flames,6,16,Inferno
7028,Copenhagen Flames,Copenhagen Flames,pro100,16,14,Train
7029,Copenhagen Flames,North,Copenhagen Flames,14,16,Inferno
7030,pro100,Copenhagen Flames,pro100,14,16,Vertigo
7031,Copenhagen Flames,Movistar Riders,Copenhagen Flames,14,16,Inferno
7032,ARCY,Copenhagen Flames,ARCY,16,6,Mirage
7033,Copenhagen Flames,FaZe,Copenhagen Flames,12,16,Inferno
7034,Copenhagen Flames,Copenhagen Flames,ARCY,16,14,Nuke
7035,Copenhagen Flames,mousesports,Copenhagen Flames,13,16,Overpass
7036,Juggernauts,Copenhagen Flames,Juggernauts,16,6,Inferno
7037,ENCE,ENCE,Copenhagen Flames,22,20,Inferno
7038,Copenhagen Flames,Copenhagen Flames,pro100,16,10,Train
7039,Gambit Youngsters,Gambit Youngsters,Copenhagen Flames,19,17,Vertigo
7040,Shidiots,Corvidae,Shidiots,14,16,Overpass
7041,Shidiots,Shidiots,Corvidae,16,12,Mirage
7042,Corvidae,Corvidae,SYF,16,10,Overpass
7043,Corvidae,SYF,Corvidae,12,16,Train
7044,really weird,Corvidae,really weird,16,9,Mirage
7045,Genuine,Genuine,Corvidae,16,12,Vertigo
7046,Corvidae,Corvidae,MC,2,16,Vertigo
7047,Corvidae,Genuine,Corvidae,16,7,Train
7048,Cream,Cream,Giants,3,16,Dust2
7049,Cream,Giants,Cream,16,8,Mirage
7050,Cream,Cream,Sprout,6,16,Overpass
7051,Cream,KPI,Cream,14,16,Train
7052,Sprout,Cream,Sprout,11,16,Mirage
7053,KPI,KPI,Cream,9,16,Nuke
7054,Cream,Cream,Unique,9,16,Mirage
7055,Cream,Movistar Riders,Cream,16,5,Mirage
7056,Cream,Cream,Brute,16,14,Overpass
7057,Movistar Riders,Movistar Riders,Cream,19,15,Inferno
7058,Cream,Cream,Brute,16,14,Dust2
7059,Owned,Owned,Cream,16,10,Mirage
7060,Movistar Riders,Cream,Movistar Riders,20,22,Overpass
7061,Cream,Owned,Cream,14,16,Dust2
7062,Cream,Cream,Movistar Riders,16,10,Train
7063,Owned,Owned,Cream,16,14,Overpass
7064,GamerLegion,Cream,GamerLegion,23,25,Train
7065,Cream,Movistar Riders,Cream,16,6,Inferno
7066,Carnage fe,Crowns fe,Carnage fe,16,9,Inferno
7067,Crowns fe,CLG Red,Crowns fe,16,7,Train
7068,Crowns fe,Crowns fe,CLG Red,5,16,Train
7069,Crowns fe,Carnage fe,Crowns fe,12,16,Dust2
7070,plan-B fe,Crowns fe,plan-B fe,16,19,Nuke
7071,CLG Red,CLG Red,Crowns fe,16,14,Mirage
7072,Cyber Legacy,Cyber Legacy,Pompa,8,16,Nuke
7073,Cyber Legacy,Pompa,Cyber Legacy,16,7,Train
7074,Cyber Legacy,Cyber Legacy,Pompa,8,16,Nuke
7075,Cyber Legacy,Pompa,Cyber Legacy,16,7,Train
7076,Cyber Legacy,Cyber Legacy,Pompa,8,16,Nuke
7077,Cyber Legacy,Pompa,Cyber Legacy,16,7,Train
7078,Cyber Legacy,Cyber Legacy,Pompa,8,16,Nuke
7079,Cyber Legacy,Pompa,Cyber Legacy,16,7,Train
7080,Cyber Legacy,Cyber Legacy,Pompa,8,16,Nuke
7081,Cyber Legacy,Pompa,Cyber Legacy,16,7,Train
7082,Cyber Legacy,Cyber Legacy,Pompa,8,16,Nuke
7083,Cyber Legacy,Pompa,Cyber Legacy,16,7,Train
7084,Cyber Legacy,Cyber Legacy,Pompa,8,16,Nuke
7085,Cyber Legacy,Pompa,Cyber Legacy,16,7,Train
7086,Cyber Legacy,Cyber Legacy,Pompa,8,16,Nuke
7087,Cyber Legacy,Pompa,Cyber Legacy,16,7,Train
7088,Cyber Legacy,Cyber Legacy,Pompa,8,16,Nuke
7089,Cyber Legacy,Pompa,Cyber Legacy,16,7,Train
7090,Cyber Legacy,Cyber Legacy,Pompa,8,16,Nuke
7091,Cyber Legacy,Pompa,Cyber Legacy,16,7,Train
7092,Cyber Legacy,Cyber Legacy,Pompa,8,16,Nuke
7093,Cyber Legacy,Pompa,Cyber Legacy,16,7,Train
7094,Cyber Legacy,Cyber Legacy,Pompa,8,16,Nuke
7095,Cyber Legacy,Pompa,Cyber Legacy,16,7,Train
7096,HellRaisers,Cyber Legacy,HellRaisers,17,19,Overpass
7097,Cyber Legacy,HellRaisers,Cyber Legacy,10,16,Train
7098,Living Like Larry,Cyclone,Living Like Larry,16,9,Overpass
7099,Cyclone,eUnited,Cyclone,16,3,Mirage
7100,Cyclone,Cyclone,Hysteria,19,15,Overpass
7101,Infamous,Infamous,Cyclone,16,11,Mirage
7102,Cyclone,Cyclone,Singularity,2,16,Overpass
7103,Cyclone,Infamous,Cyclone,13,16,Inferno
7104,D13,D13,Ignis,16,11,Mirage
7105,D13,Ignis,D13,12,16,Inferno
7106,D13,D13,2990,9,16,Overpass
7107,2990,2990,D13,9,16,Nuke
7108,D13,D13,IM11,16,14,Mirage
7109,2990,2990,D13,16,11,Mirage
7110,D13,D13,Absolute,6,16,Mirage
7111,IM11,IM11,D13,7,16,Nuke
7112,Ninjustice,D13,Ninjustice,16,6,Mirage
7113,D13,Absolute,D13,16,4,Nuke
7114,D13,D13,Beyond,5,16,Mirage
7115,Ninjustice,Ninjustice,D13,7,16,Inferno
7116,Updraft,D13,Updraft,16,5,Inferno
7117,D13,Beyond,D13,16,2,Train
7118,D13,D13,Updraft,16,11,Dust2
7119,Updraft,Updraft,D13,16,12,Nuke
7120,D13,D13,Ignis,2,16,Mirage
7121,D13,Ignis,D13,16,7,Train
7122,D13,D13,BOOT,8,16,Nuke
7123,D13,Updraft,D13,16,5,Nuke
7124,DivisionX,D13,DivisionX,16,9,Vertigo
7125,D13,Updraft,D13,16,7,Inferno
7126,2990,D13,2990,16,8,Nuke
7127,Beyond,Beyond,D13,16,10,Train
7128,2990,D13,2990,16,8,Mirage
7129,D13,AOES,D13,16,5,Nuke
7130,Mazaalai,D13,Mazaalai,16,9,Nuke
7131,D13,AOES,D13,16,4,Mirage
7132,D13,D13,SHIFT,16,13,Train
7133,D13,2990,D13,10,16,Nuke
7134,R-Stars,D13,R-Stars,10,16,Train
7135,D13,BOOT,D13,16,2,Nuke
7136,D13,D13,BL4ZE,16,12,Inferno
7137,D13,AUGUST,D13,16,7,Nuke
7138,D13,D13,Mazaalai,7,16,Mirage
7139,D13,AUGUST,D13,16,7,Train
7140,D13,D13,Updraft,16,13,Dust2
7141,D13,DivisionX,D13,14,16,Dust2
7142,D13,D13,Updraft,16,11,Nuke
7143,D13,DivisionX,D13,16,9,Nuke
7144,D13,D13,MVP PK,16,11,Mirage
7145,D13,2990,D13,16,8,Inferno
7146,D13,D13,TIGER,16,10,Nuke
7147,D13,SHIFT,D13,16,7,Inferno
7148,D13,D13,Lucid Dream,9,16,Nuke
7149,SHIFT,SHIFT,D13,16,12,Train
7150,D13,D13,JiJieHao,16,13,Mirage
7151,D13,Mazaalai,D13,16,7,Train
7152,D13,D13,Beyond,16,13,Inferno
7153,D13,Mazaalai,D13,12,16,Inferno
7154,D13,D13,Camel Riders,9,16,Dust2
7155,SHIFT,SHIFT,D13,9,16,Inferno
7156,D13,D13,TYLOO,16,10,Mirage
7157,D13,Mazaalai,D13,16,7,Train
7158,D13,D13,TIGER,7,16,Dust2
7159,D13,Mazaalai,D13,11,16,Nuke
7160,D7G,D7G,5POWER,6,16,Nuke
7161,D7G,5POWER,D7G,16,3,Mirage
7162,Brave of Warriors,D7G,Brave of Warriors,16,9,Inferno
7163,Brave of Warriors,Brave of Warriors,D7G,6,16,Mirage
7164,D7G,D7G,Invictus,8,16,Dust2
7165,D7G,EHOME,D7G,16,9,Mirage
7166,Invictus,D7G,Invictus,10,16,Mirage
7167,D7G,Aster,D7G,16,8,Dust2
7168,DELIRAWOWZIK,DELIRAWOWZIK,Falkol,16,13,Overpass
7169,DELIRAWOWZIK,Falkol,DELIRAWOWZIK,13,16,Mirage
7170,DELIRAWOWZIK,DELIRAWOWZIK,Falkol,8,16,Dust2
7171,Alma,Alma,DELIRAWOWZIK,4,16,Mirage
7172,DELIRAWOWZIK,DELIRAWOWZIK,Agressive,16,14,Nuke
7173,Alma,Alma,DELIRAWOWZIK,7,16,Inferno
7174,S2N,DETONA,S2N,16,2,Dust2
7175,S2N,S2N,DETONA,8,16,Cache
7176,ex-Wild,DETONA,ex-Wild,13,16,Dust2
7177,DETONA,ex-Wild,DETONA,14,16,Overpass
7178,DETONA,DETONA,paiN,16,14,Dust2
7179,ex-Wild,ex-Wild,DETONA,16,11,Cache
7180,DETONA,DETONA,Isurus,3,16,Nuke
7181,DETONA,Isurus,DETONA,16,5,Mirage
7182,DETONA,DETONA,paiN,16,12,Inferno
7183,paiN,paiN,DETONA,6,16,Train
7184,DETONA,DETONA,W7M,3,16,Cache
7185,Santos,Santos,DETONA,6,16,Train
7186,W7M,DETONA,W7M,22,25,Inferno
7187,WePlayGames,WePlayGames,DETONA,4,16,Nuke
7188,Santos,DETONA,Santos,16,5,Nuke
7189,WePlayGames,WePlayGames,DETONA,6,16,Cache
7190,W7M,DETONA,W7M,16,5,Mirage
7191,W7M,W7M,DETONA,9,16,Mirage
7192,DETONA,DETONA,W7M,16,11,Nuke
7193,paiN,paiN,DETONA,16,10,Dust2
7194,DETONA,DETONA,Bulldozer,16,10,Mirage
7195,DETONA,paiN,DETONA,12,16,Inferno
7196,DETONA,DETONA,paiN,16,14,Nuke
7197,Imperial,Imperial,DETONA,6,16,Cache
7198,Imperial,DETONA,Imperial,14,16,Train
7199,DETONA,WePlayGames,DETONA,16,19,Inferno
7200,DETONA,DETONA,Imperial,16,11,Nuke
7201,WePlayGames,WePlayGames,DETONA,9,16,Nuke
7202,W7M,DETONA,W7M,16,3,Inferno
7203,DETONA,W7M,DETONA,11,16,Nuke
7204,DETONA,DETONA,Sharks,16,14,Inferno
7205,DETONA,Sharks,DETONA,16,3,Nuke
7206,paiN,DETONA,paiN,16,7,Nuke
7207,Sharks,Sharks,DETONA,3,16,Dust2
7208,Sharks,DETONA,Sharks,12,16,Train
7209,DETONA,paiN,DETONA,11,16,Inferno
7210,DETONA,DETONA,Sharks,16,10,Inferno
7211,DETONA,Sharks,DETONA,11,16,Mirage
7212,DETONA,DETONA,fakeDOSPRO,22,19,Mirage
7213,DETONA,fakeDOSPRO,DETONA,10,16,Dust2
7214,WePlayGames,DETONA,WePlayGames,14,16,Inferno
7215,DETONA,Bulldozer,DETONA,13,16,Train
7216,DETONA,DETONA,All Knights,16,13,Nuke
7217,WePlayGames,WePlayGames,DETONA,3,16,Mirage
7218,Niknexus,DETONA,Niknexus,16,9,Inferno
7219,DETONA,WePlayGames,DETONA,14,16,Cache
7220,DETONA,DETONA,All Knights,16,14,Mirage
7221,All Knights,All Knights,DETONA,16,12,Inferno
7222,All Knights,DETONA,All Knights,10,16,Nuke
7223,All Knights,All Knights,DETONA,7,16,Dust2
7224,DETONA,DETONA,All Knights,16,1,Inferno
7225,Santos,Santos,DETONA,8,16,Mirage
7226,DETONA,DETONA,segura o bone,16,1,Mirage
7227,All Knights,All Knights,DETONA,8,16,Dust2
7228,Furious,DETONA,Furious,16,5,Train
7229,Furious,Furious,DETONA,2,16,Mirage
7230,Isurus,DETONA,Isurus,14,16,Train
7231,Isurus,Isurus,DETONA,16,12,Mirage
7232,W7M,DETONA,W7M,13,16,Train
7233,DETONA,Reapers,DETONA,13,16,Dust2
7234,segura o bone,DETONA,segura o bone,16,9,Train
7235,W7M,W7M,DETONA,16,11,Mirage
7236,W7M,DETONA,W7M,16,9,Overpass
7237,segura o bone,segura o bone,DETONA,8,16,Mirage
7238,Infinity,DETONA,Infinity,16,6,Nuke
7239,DETONA,W7M,DETONA,16,9,Nuke
7240,Isurus,DETONA,Isurus,16,8,Inferno
7241,W7M,W7M,DETONA,6,16,Inferno
7242,DETONA,DETONA,Denial,28,24,Overpass
7243,Infinity,Infinity,DETONA,9,16,Inferno
7244,DETONA,DETONA,Inflames,19,17,Inferno
7245,DETONA,Isurus,DETONA,14,16,Mirage
7246,DETONA,DETONA,paiN,16,13,Overpass
7247,Isurus,Isurus,DETONA,16,12,Dust2
7248,Evidence,DETONA,Evidence,16,5,Train
7249,Denial,Denial,DETONA,9,16,Mirage
7250,paiN,DETONA,paiN,10,16,Overpass
7251,DETONA,INTZ.Academy,DETONA,13,16,Mirage
7252,Bulldozer,DETONA,Bulldozer,14,16,Inferno
7253,DETONA,Reapers,DETONA,10,16,Mirage
7254,9z,DETONA,9z,11,16,Overpass
7255,Inflames,Inflames,DETONA,8,16,Mirage
7256,DETONA,DETONA,9z,16,1,Mirage
7257,paiN,paiN,DETONA,9,16,Inferno
7258,W7M,DETONA,W7M,11,16,Nuke
7259,DETONA,Evidence,DETONA,12,16,Nuke
7260,RED Canids,DETONA,RED Canids,16,4,Train
7261,paiN,paiN,DETONA,22,19,Vertigo
7262,Lyngby Vikings,DETONA,Lyngby Vikings,11,16,Nuke
7263,9z,9z,DETONA,3,16,Inferno
7264,ALTERNATE aTTaX,DETONA,ALTERNATE aTTaX,16,5,Train
7265,DETONA,W7M,DETONA,16,4,Inferno
7266,AVEZ,DETONA,AVEZ,16,8,Train
7267,Redemption POA,Redemption POA,DETONA,4,16,Mirage
7268,DETONA,DETONA,Reapers,16,12,Inferno
7269,Inflames,Inflames,DETONA,19,17,Inferno
7270,DETONA,DETONA,Keyd,16,12,Inferno
7271,DETONA,Lyngby Vikings,DETONA,16,8,Inferno
7272,Keyd,DETONA,Keyd,16,6,Mirage
7273,ALTERNATE aTTaX,ALTERNATE aTTaX,DETONA,19,17,Inferno
7274,paiN,DETONA,paiN,11,16,Nuke
7275,DETONA,AVEZ,DETONA,13,16,Mirage
7276,DETONA,DETONA,paiN,16,11,Dust2
7277,DETONA,Heroic,DETONA,16,8,Dust2
7278,DETONA,DETONA,Rejected,16,13,Mirage
7279,DETONA,Cloud9,DETONA,16,4,Dust2
7280,INTZ.Academy,DETONA,INTZ.Academy,16,7,Mirage
7281,DETONA,Cloud9,DETONA,16,9,Mirage
7282,DETONA,DETONA,Isurus,4,16,Inferno
7283,DETONA,paiN,DETONA,11,16,Dust2
7284,DETONA,DETONA,paiN,7,16,Nuke
7285,paiN,paiN,DETONA,19,16,Inferno
7286,DETONA,DETONA,Isurus,16,10,Mirage
7287,Keyd,Keyd,DETONA,8,16,Inferno
7288,DETONA,DETONA,Santos,7,16,Inferno
7289,Rejected,Rejected,DETONA,3,16,Inferno
7290,Keyd,DETONA,Keyd,14,16,Dust2
7291,DETONA,paiN,DETONA,17,19,Train
7292,Alma,DETONA,Alma,13,16,Train
7293,DETONA,paiN,DETONA,12,16,Inferno
7294,DETONA,DETONA,Alma,6,16,Inferno
7295,DETONA,Alma,DETONA,0,16,Mirage
7296,W7M,DETONA,W7M,10,16,Mirage
7297,DETONA,W7M,DETONA,11,16,Mirage
7298,Bulldozer,DETONA,Bulldozer,16,6,Dust2
7299,RED Canids,RED Canids,DETONA,16,11,Inferno
7300,EOX,DETONA,EOX,16,6,Train
7301,DETONA,EOX,DETONA,14,16,Train
7302,paiN,DETONA,paiN,16,5,Inferno
7303,paiN,paiN,DETONA,16,10,Inferno
7304,DETONA,DETONA,Isurus,8,16,Mirage
7305,DETONA,Falkol,DETONA,12,16,Overpass
7306,Isurus,DETONA,Isurus,10,16,Inferno
7307,Falkol,Falkol,DETONA,16,13,Mirage
7308,DETONA,DETONA,paiN,9,16,Overpass
7309,DETONA,Falkol,DETONA,13,16,Train
7310,W7M,DETONA,W7M,11,16,Inferno
7311,DETONA,paiN,DETONA,16,9,Train
7312,RED Canids,DETONA,RED Canids,16,6,Train
7313,DETONA,W7M,DETONA,16,9,Train
7314,DETONA,DETONA,RED Canids,19,17,Dust2
7315,DETONA,W7M,DETONA,11,16,Dust2
7316,DETONA,DETONA,W7M,16,12,Inferno
7317,Keyd,Keyd,DETONA,7,16,Dust2
7318,Keyd,DETONA,Keyd,16,9,Inferno
7319,Sharks,Sharks,DETONA,16,12,Vertigo
7320,Infinity,DETONA,Infinity,16,8,Inferno
