Winner,Team1,Team2,Team1_Score,Team2_Score
AGO,AGO,Virtus.pro,16,12
AGO,AGO,Virtus.pro,16,12
Soberano,Soberano,Santos,16,14
Santos,Santos,Soberano,16,12
Soberano,Soberano,Santos,4,16
Alma,Falkol,Alma,12,16
Falkol,Alma,Falkol,12,16
Alma,Alma,Falkol,6,16
Tunisia,Ratatatata,Tunisia,12,16
Tunisia,Tunisia,Ratatatata,6,16
Ratatatata,Ratatatata,Tunisia,16,11
Santos,Santos,RUFUS,16,12
RUFUS,RUFUS,Santos,16,10
RUFUS,RUFUS,Santos,9,16
Falkol,Falkol,W7M,16,12
W7M,W7M,Falkol,19,16
Falkol,Falkol,W7M,8,16
iNTACT,iNTACT,Oceanus,16,14
Oceanus,Oceanus,iNTACT,6,16
Faint,Faint,Rebirth,19,15
Rebirth,Rebirth,Faint,5,16
BTRG,Invictus,BTRG,16,5
Invictus,Invictus,BTRG,16,13
R-Stars,Lynn Vision,R-Stars,11,16
Lynn Vision,R-Stars,Lynn Vision,14,16
R-Stars,R-Stars,Lynn Vision,16,13
Invictus,Invictus,OneThree,6,16
OneThree,Invictus,OneThree,11,16
Nemiga,Nemiga,HellRaisers,16,10
Nemiga,Nemiga,HellRaisers,16,10
Aristocracy,SKADE,Aristocracy,17,19
SKADE,Aristocracy,SKADE,16,8
Giants,GamerLegion,Giants,10,16
Giants,GamerLegion,Giants,16,3
Giants,GamerLegion,Giants,16,5
Dracarys,Espada,Dracarys,16,8
Dracarys,Dracarys,Espada,2,16
Dracarys,Dracarys,Espada,8,16
NAVI Junior,NAVI Junior,Nemiga,8,16
Nemiga,NAVI Junior,Nemiga,16,5
Nemiga,NAVI Junior,Nemiga,14,16
Copenhagen Flames,Copenhagen Flames,SJ,16,13
Copenhagen Flames,SJ,Copenhagen Flames,13,16
Izako Boars,Nordavind,Izako Boars,16,2
Nordavind,Izako Boars,Nordavind,14,16
ENRAGE,Pompa,ENRAGE,10,16
Pompa,ENRAGE,Pompa,16,9
Aristocracy,Copenhagen Flames,Aristocracy,13,16
Copenhagen Flames,Aristocracy,Copenhagen Flames,16,7
Nemiga,Nemiga,Project X,16,12
Nemiga,Nemiga,Project X,16,10
North,maquinas,North,16,19
North,North,maquinas,16,14
Gamedock,Big 5,Gamedock,16,2
Gamedock,Gamedock,Big 5,4,16
Wisla Krakow,Wisla Krakow,Winstrike,16,13
Wisla Krakow,Wisla Krakow,Winstrike,16,14
Ratatatata,Ratatatata,Viboras,8,16
Ratatatata,Ratatatata,Viboras,16,10
Ratatatata,Viboras,Ratatatata,12,16
Virtus.pro,Virtus.pro,Wisla Krakow,16,14
Wisla Krakow,Virtus.pro,Wisla Krakow,14,16
Virtus.pro,Virtus.pro,Wisla Krakow,16,12
Falkol,Falkol,Soberano,16,10
Soberano,Soberano,Falkol,16,11
Falkol,Soberano,Falkol,14,16
Alma,RUFUS,Alma,16,6
RUFUS,Alma,RUFUS,12,16
UP,UP,3xTeam,16,14
3xTeam,3xTeam,UP,8,16
Santos,Santos,W7M,16,12
W7M,W7M,Santos,16,1
Santos,W7M,Santos,16,2
R-Stars,R-Stars,TYLOO,16,10
TYLOO,TYLOO,R-Stars,19,15
R-Stars,TYLOO,R-Stars,16,4
TYLOO,TYLOO,Lucid Dream,16,11
Lucid Dream,Lucid Dream,TYLOO,9,16
OneThree,Lynn Vision,OneThree,13,16
Lynn Vision,Lynn Vision,OneThree,5,16
SKADE,SKADE,Illuminar,6,16
SKADE,SKADE,Illuminar,8,16
R-Stars,R-Stars,BTRG,9,16
R-Stars,R-Stars,BTRG,16,11
BTRG,BTRG,R-Stars,16,10
TYLOO,TYLOO,OneThree,16,14
OneThree,OneThree,TYLOO,3,16
2115,2115,pro100,16,13
2115,2115,pro100,16,10
Copenhagen Flames,HAVU,Copenhagen Flames,14,16
HAVU,Copenhagen Flames,HAVU,17,19
HAVU,Copenhagen Flames,HAVU,16,6
Evil Geniuses,Evil Geniuses,AVANGAR,16,10
NiP,Liquid,NiP,16,4
HUKKA,maquinas,HUKKA,16,9
maquinas,maquinas,HUKKA,16,13
Espada,Espada,ex-Windigo,19,17
ex-Windigo,ex-Windigo,Espada,19,17
Espada,ex-Windigo,Espada,15,19
Ratatatata,Ratatatata,Viva Algeria,19,17
Viva Algeria,Viva Algeria,Ratatatata,16,11
Ratatatata,Ratatatata,Viva Algeria,8,16
Astralis,Astralis,Sharks,19,15
Ambush,Ambush,Lyngby Vikings,16,14
Lyngby Vikings,Lyngby Vikings,Ambush,9,16
MIBR,fnatic,MIBR,16,9
RUFUS,RUFUS,Falkol,16,12
Falkol,RUFUS,Falkol,16,2
Evil Geniuses,Liquid,Evil Geniuses,16,4
Liquid,Liquid,Evil Geniuses,16,14
RUFUS,Santos,RUFUS,13,16
RUFUS,RUFUS,Santos,16,12
fnatic,fnatic,Astralis,6,16
Astralis,fnatic,Astralis,14,16
FURIA,Marskalk,FURIA,10,16
Nordavind,Nordavind,HAVU,19,16
Nordavind,HAVU,Nordavind,16,8
Nordavind,Nordavind,HAVU,7,16
SJ,Heroic,SJ,13,16
Tricked,forZe,Tricked,10,16
Ambush,Ambush,GamerLegion,16,13
Ambush,GamerLegion,Ambush,16,5
GamerLegion,GamerLegion,Ambush,19,17
Unique,HellRaisers,Unique,13,16
Unique,HellRaisers,Unique,16,6
Unique,Unique,HellRaisers,4,16
NiP,AVANGAR,NiP,12,16
AVANGAR,NiP,AVANGAR,16,6
CR4ZY,CR4ZY,GODSENT,7,16
Tricked,Tricked,FURIA,16,14
AGF,ALTERNATE aTTaX,AGF,16,3
ALTERNATE aTTaX,AGF,ALTERNATE aTTaX,14,16
MIBR,Sharks,MIBR,13,16
Sharks,MIBR,Sharks,16,7
GODSENT,GODSENT,SJ,16,11
Yalla,Yalla,Giants,7,16
Yalla,Giants,Yalla,16,9
NiP,NiP,Evil Geniuses,16,11
Evil Geniuses,NiP,Evil Geniuses,14,16
Evil Geniuses,NiP,Evil Geniuses,12,16
MIBR,fnatic,MIBR,16,9
fnatic,MIBR,fnatic,13,16
Marskalk,forZe,Marskalk,16,4
forZe,Marskalk,forZe,12,16
Station-751,Bren,Station-751,16,2
Bren,Bren,Station-751,16,11
Fallen5,Fallen5,SponsorUS,9,16
Fallen5,Fallen5,SponsorUS,4,16
Sector One,Sector One,Game Fist,16,11
Game Fist,Game Fist,Sector One,16,12
Game Fist,Game Fist,Sector One,16,10
ikarus,Plan A,ikarus,16,9
Plan A,ikarus,Plan A,16,8
Plan A,Plan A,ikarus,8,16
CR4ZY,CR4ZY,Heroic,3,16
CR4ZY,Heroic,CR4ZY,12,16
CR4ZY,CR4ZY,Heroic,16,13
Bren,Bren,SponsorUS,16,1
Bren,SponsorUS,Bren,10,16
Tenerife Titans,Vanguard,Tenerife Titans,11,16
Tenerife Titans,Tenerife Titans,Vanguard,16,10
FURIA,FURIA,forZe,16,14
forZe,forZe,FURIA,19,17
FURIA,forZe,FURIA,16,7
Tenerife Titans,Tenerife Titans,Game Fist,25,21
Game Fist,Game Fist,Tenerife Titans,6,16
AGO,ARCY,AGO,13,16
ARCY,AGO,ARCY,10,16
AGO,ARCY,AGO,14,16
Evil Geniuses,Evil Geniuses,Astralis,8,16
Evil Geniuses,Astralis,Evil Geniuses,13,16
Evil Geniuses,Evil Geniuses,Astralis,6,16
SJ,SJ,CR4ZY,2,16
SJ,CR4ZY,SJ,16,2
Illuminar,Wisla Krakow,Illuminar,12,16
Illuminar,Illuminar,Wisla Krakow,6,16
Wisla Krakow,Wisla Krakow,Illuminar,9,16
Liquid,fnatic,Liquid,16,6
fnatic,Liquid,fnatic,16,6
Liquid,fnatic,Liquid,10,16
Entity,Entity,BL4ZE,9,16
BL4ZE,BL4ZE,Entity,16,14
forZe,GODSENT,forZe,12,16
forZe,forZe,GODSENT,7,16
forZe,forZe,GODSENT,16,13
MC,Ground Zero,MC,16,8
Ground Zero,MC,Ground Zero,16,9
Ground Zero,Ground Zero,MC,16,14
Gaming Hub,Global,Gaming Hub,11,16
Gaming Hub,Gaming Hub,Global,16,10
Wild,Wild,OFFSET,4,16
Wild,OFFSET,Wild,16,9
CR4ZY,Tricked,CR4ZY,16,7
CR4ZY,CR4ZY,Tricked,6,16
eXploit,eXploit,VodkaJuniors,16,13
VodkaJuniors,VodkaJuniors,eXploit,16,11
eXploit,VodkaJuniors,eXploit,16,9
Gucci Squad,Gucci Squad,Bring Me The Horizon,16,12
Bring Me The Horizon,Gucci Squad,Bring Me The Horizon,16,6
og3od,FIREMIX,og3od,14,16
og3od,FIREMIX,og3od,16,8
og3od,FIREMIX,og3od,11,16
forZe,Tricked,forZe,11,16
Tricked,forZe,Tricked,14,16
Tricked,Tricked,forZe,9,16
UTA,LSU,UTA,16,7
Illuminar,Illuminar,AGO,16,12
Illuminar,AGO,Illuminar,16,6
AGO,Illuminar,AGO,16,6
VodkaJuniors,OFFSET,VodkaJuniors,16,6
VodkaJuniors,VodkaJuniors,OFFSET,16,14
VodkaJuniors,VodkaJuniors,OFFSET,9,16
gothboiclique,CYBERLIFE,gothboiclique,11,16
gothboiclique,CYBERLIFE,gothboiclique,10,16
Finest,Finest,Yalla,16,13
Finest,Yalla,Finest,17,19
FACEIT Level Tenz,Dirty Peek Petes,FACEIT Level Tenz,14,16
Liquid,Liquid,Astralis,19,15
Astralis,Liquid,Astralis,11,16
Liquid,Liquid,Astralis,8,16
Entity,Entity,Global,7,16
Global,Entity,Global,12,16
BL4ZE,BL4ZE,Gaming Hub,6,16
BL4ZE,Gaming Hub,BL4ZE,12,16
BL4ZE,Gaming Hub,BL4ZE,10,16
Ancient,Ancient,HAVU,16,14
Ancient,HAVU,Ancient,16,4
HAVU,Ancient,HAVU,12,16
Copenhagen Flames,GamerLegion,Copenhagen Flames,11,16
Copenhagen Flames,Copenhagen Flames,GamerLegion,19,16
og3od,Finest,og3od,14,16
og3od,og3od,Finest,7,16
og3od,Finest,og3od,11,16
PACT,PACT,Izako Boars,16,11
PACT,PACT,Izako Boars,16,12
Unicorns of Love,Nordavind,Unicorns of Love,16,4
Unicorns of Love,Unicorns of Love,Nordavind,6,16
Lyngby Vikings,Lyngby Vikings,AGF,5,16
Lyngby Vikings,AGF,Lyngby Vikings,12,16
AGF,Lyngby Vikings,AGF,14,16
ALTERNATE aTTaX,ALTERNATE aTTaX,Ambush,16,14
ALTERNATE aTTaX,Ambush,ALTERNATE aTTaX,17,19
ARCY,AGO,ARCY,16,4
AGO,AGO,ARCY,9,16
ARCY,ARCY,AGO,16,12
FIREMIX,FIREMIX,Yalla,8,16
Yalla,FIREMIX,Yalla,16,9
FIREMIX,Yalla,FIREMIX,16,3
RUFUS,Falkol,RUFUS,16,8
Falkol,RUFUS,Falkol,16,7
Falkol,RUFUS,Falkol,16,7
Falkol,UP,Falkol,12,16
UP,UP,Falkol,7,16
PC419,Ground Zero,PC419,16,8
Ground Zero,PC419,Ground Zero,13,16
unfortunate circumstances ,SYF,unfortunate circumstances ,16,8
SYF,SYF,unfortunate circumstances ,16,11
Global,Gaming Hub,Global,11,16
Gaming Hub,Global,Gaming Hub,10,16
Gaming Hub,Global,Gaming Hub,16,8
TYLOO,Natus Vincere,TYLOO,16,6
MIBR,FaZe,MIBR,12,16
Heroic,Heroic,100 Thieves,8,16
fnatic,Evil Geniuses,fnatic,16,3
G2,G2,Sharks,16,13
Renegades,Renegades,Astralis,8,16
ARCY,ARCY,Sprout,19,17
ARCY,Sprout,ARCY,16,19
ATK,ATK,mousesports,9,16
MIBR,Natus Vincere,MIBR,16,9
MIBR,MIBR,Natus Vincere,4,16
FaZe,FaZe,TYLOO,7,16
TYLOO,TYLOO,FaZe,5,16
TYLOO,FaZe,TYLOO,16,7
Finest,Yalla,Finest,16,8
Yalla,Finest,Yalla,12,16
Sangal,FATE,Sangal,16,5
Sangal,Sangal,FATE,9,16
Endpoint,Endpoint,Tenerife Titans,16,14
Tenerife Titans,Tenerife Titans,Endpoint,6,16
Defusekids,OFFSET,Defusekids,10,16
OFFSET,Defusekids,OFFSET,10,16
Defusekids,Defusekids,OFFSET,25,23
Wisla Krakow,HSL,Wisla Krakow,16,8
HSL,Wisla Krakow,HSL,16,6
Wisla Krakow,Wisla Krakow,HSL,16,12
Liquid,Liquid,North,16,12
100 Thieves,Evil Geniuses,100 Thieves,16,8
Evil Geniuses,100 Thieves,Evil Geniuses,10,16
fnatic,Heroic,fnatic,16,9
fnatic,fnatic,Heroic,16,13
fnatic,Heroic,fnatic,13,16
Endpoint,FATE,Endpoint,12,16
FATE,Endpoint,FATE,10,16
FATE,FATE,Endpoint,16,12
AGO,AGO,ENRAGE,16,10
ENRAGE,AGO,ENRAGE,16,9
Defusekids,Wisla Krakow,Defusekids,16,9
Defusekids,Defusekids,Wisla Krakow,8,16
Thunder Logic,Thunder Logic,Recon 5,16,12
Recon 5,Recon 5,Thunder Logic,16,10
Recon 5,Recon 5,Thunder Logic,16,12
Faint,iNTACT,Faint,10,16
iNTACT,Faint,iNTACT,13,16
Faint,iNTACT,Faint,12,16
North,ATK,North,16,9
North,North,ATK,8,16
Renegades,Sharks,Renegades,16,7
Sharks,Renegades,Sharks,16,5
Renegades,Renegades,Sharks,16,12
G2,Astralis,G2,13,16
Astralis,G2,Astralis,15,19
Astralis,G2,Astralis,14,16
100 Thieves,FaZe,100 Thieves,11,16
FaZe,100 Thieves,FaZe,12,16
FaZe,FaZe,100 Thieves,7,16
Sangal,Tenerife Titans,Sangal,12,16
Tenerife Titans,Sangal,Tenerife Titans,11,16
Tenerife Titans,Tenerife Titans,Sangal,8,16
Maknitude,Maknitude,AGF,16,12
AGF,AGF,Maknitude,7,16
OFFSET,OFFSET,HSL,16,11
HSL,HSL,OFFSET,7,16
mousesports,Liquid,mousesports,16,5
mousesports,mousesports,Liquid,16,12
Liquid,Liquid,mousesports,16,14
Sinister5,Big 5,Sinister5,10,16
Sinister5,Sinister5,Big 5,16,12
fnatic,MIBR,fnatic,10,16
MIBR,fnatic,MIBR,16,19
fnatic,fnatic,MIBR,16,11
AGO,Winstrike,AGO,10,16
AGO,Winstrike,AGO,14,16
OFFSET,Endpoint,OFFSET,11,16
OFFSET,OFFSET,Endpoint,16,14
kinetic,Ambush,kinetic,13,16
kinetic,kinetic,Ambush,6,16
kinetic,kinetic,Ambush,16,14
Defusekids,Defusekids,Sangal,16,13
Sangal,Sangal,Defusekids,7,16
ex-Genuine,Shidiots,ex-Genuine,0,16
ex-Genuine,ex-Genuine,Shidiots,16,10
SYF,ex-Genuine,SYF,10,16
SYF,SYF,ex-Genuine,7,16
ex-Genuine,SYF,ex-Genuine,11,16
PC419,PC419,Airborne,4,16
Airborne,Airborne,PC419,9,16
Airborne,PC419,Airborne,12,16
ATK,ATK,G2,4,16
ATK,ATK,G2,16,13
G2,G2,ATK,6,16
Renegades,mousesports,Renegades,14,16
Renegades,Renegades,mousesports,8,16
Renegades,Renegades,mousesports,7,16
GODSENT,GODSENT,Hard Legion,16,12
GODSENT,Hard Legion,GODSENT,16,5
GODSENT,GODSENT,Hard Legion,6,16
Evil Geniuses,Natus Vincere,Evil Geniuses,12,16
Evil Geniuses,Evil Geniuses,Natus Vincere,5,16
Natus Vincere,Natus Vincere,Evil Geniuses,16,11
fnatic,100 Thieves,fnatic,13,16
100 Thieves,fnatic,100 Thieves,16,5
HAVU,Spirit,HAVU,16,4
Spirit,HAVU,Spirit,13,16
Liquid,Astralis,Liquid,14,16
Liquid,Liquid,Astralis,7,16
Astralis,Astralis,Liquid,16,13
Virtus.pro,Virtus.pro,Illuminar,3,16
Illuminar,Illuminar,Virtus.pro,16,13
ATK,mousesports,ATK,16,5
ATK,ATK,mousesports,6,16
Maknitude,kinetic,Maknitude,13,16
kinetic,kinetic,Maknitude,8,16
Copenhagen Flames,Heroic,Copenhagen Flames,16,5
Copenhagen Flames,Copenhagen Flames,Heroic,25,23
Heroic,Heroic,Copenhagen Flames,16,11
Unicorns of Love,ALTERNATE aTTaX,Unicorns of Love,14,16
Unicorns of Love,Unicorns of Love,ALTERNATE aTTaX,8,16
Unicorns of Love,ALTERNATE aTTaX,Unicorns of Love,20,22
Faint,Thunder Logic,Faint,16,4
Faint,Thunder Logic,Faint,12,16
Faint,Thunder Logic,Faint,10,16
5orgless,Goliath,5orgless,16,9
Goliath,5orgless,Goliath,10,16
pro100,5orgless,pro100,12,16
5orgless,pro100,5orgless,11,16
2115,Heretics,2115,14,16
Heretics,2115,Heretics,17,19
2115,Heretics,2115,16,8
SKADE,Virtus.pro,SKADE,13,16
Virtus.pro,SKADE,Virtus.pro,15,19
SKADE,SKADE,Virtus.pro,16,14
pro100,pro100,Goliath,16,11
Goliath,Goliath,pro100,8,16
maquinas,Ambush,maquinas,14,16
maquinas,maquinas,Ambush,16,11
Nemiga,Nemiga,GODSENT,16,11
Nemiga,GODSENT,Nemiga,16,9
Nemiga,GODSENT,Nemiga,16,9
fnatic,Liquid,fnatic,11,16
Liquid,fnatic,Liquid,16,8
SJ,Secret,SJ,14,16
Secret,Secret,SJ,9,16
Valorix,Valorix,Sons Of Lennart,6,16
Sons Of Lennart,Valorix,Sons Of Lennart,13,16
Evil Geniuses,Evil Geniuses,mousesports,6,16
Evil Geniuses,mousesports,Evil Geniuses,17,19
mousesports,mousesports,Evil Geniuses,16,0
RUFUS,Falkol,RUFUS,14,16
RUFUS,RUFUS,Falkol,19,17
Lilmix,Lilmix,fightclub,5,16
fightclub,Lilmix,fightclub,14,16
Lucid Dream,Lucid Dream,Yalla,19,17
Yalla,Lucid Dream,Yalla,10,16
Global,ViCi,Global,16,8
Global,Global,ViCi,6,16
Lucid Dream,HellRaisers,Lucid Dream,16,2
HellRaisers,Lucid Dream,HellRaisers,10,16
ARMADA,Vicious Adikta,ARMADA,14,16
gejming haus aula,OutLawZ,gejming haus aula,16,4
CLEANTmix,Izako Boars,CLEANTmix,16,6
Buckets,Mako,Buckets,16,7
Buckets,Mako,Buckets,16,3
srry4waht,really weird,srry4waht,16,19
srry4waht,srry4waht,really weird,16,13
nebuloza,nebuloza,PSYCHOACTIVE,7,16
dream S cape,dream S cape,NASR,19,16
dream S cape,NASR,dream S cape,16,9
NASR,dream S cape,NASR,15,19
gejming haus aula,gejming haus aula,nebuloza,7,16
Juggernauts,Juggernauts,KiM Kardashians,16,1
OutLawZ,OutLawZ,PSYCHOACTIVE,16,11
CLEANTmix,Giants,CLEANTmix,16,8
HellRaisers,HellRaisers,Yalla,16,14
Yalla,Yalla,HellRaisers,2,16
Juggernauts,Juggernauts,ARMADA,16,10
KiM Kardashians,KiM Kardashians,Vicious Adikta,3,16
ARCY,ARCY,Illuminar,7,16
Illuminar,Illuminar,ARCY,8,16
Illuminar,ARCY,Illuminar,12,16
R-Stars,D13,R-Stars,10,16
Izako Boars,Giants,Izako Boars,16,9
Lynn Vision,Bren,Lynn Vision,10,16
2990,2990,Alpha Red,9,16
North,GamerLegion,North,14,16
GamerLegion,North,GamerLegion,16,9
PSYCHOACTIVE,Vicious Adikta,PSYCHOACTIVE,10,16
OutLawZ,OutLawZ,Juggernauts,9,16
OutLawZ,Juggernauts,OutLawZ,11,16
OutLawZ,Juggernauts,OutLawZ,16,5
OneThree,EHOME,OneThree,10,16
nebuloza,nebuloza,ARMADA,16,12
Natus Vincere,Natus Vincere,fnatic,16,14
fnatic,fnatic,Natus Vincere,16,11
Natus Vincere,Natus Vincere,fnatic,6,16
Lilmix,Lilmix,Valorix,9,16
Lilmix,Lilmix,Valorix,19,16
Lilmix,Lilmix,Valorix,16,12
AGO,AGO,SKADE,16,10
PSYCHOACTIVE,nebuloza,PSYCHOACTIVE,10,16
SKADE,AGO,SKADE,16,3
PACT,PACT,AVEZ,8,16
Constant Motion,2K,Constant Motion,16,7
2K,2K,Constant Motion,16,14
maquinas,maquinas,Heroic,9,16
maquinas,maquinas,Heroic,16,13
Heroic,Heroic,maquinas,16,10
AVEZ,AVEZ,Wisla Krakow,16,11
Unicorns of Love,Nordavind,Unicorns of Love,16,8
Unicorns of Love,Unicorns of Love,Nordavind,3,16
CLG Red,ANEW,CLG Red,1,16
ANEW,CLG Red,ANEW,16,3
eXploit,eXploit,FTW,6,16
FTW,FTW,eXploit,5,16
eXploit,eXploit,FTW,16,13
OutLawZ,OutLawZ,PSYCHOACTIVE,19,17
PSYCHOACTIVE,PSYCHOACTIVE,OutLawZ,5,16
Sons Of Lennart,fightclub,Sons Of Lennart,16,19
Sons Of Lennart,fightclub,Sons Of Lennart,12,16
SCIENCE,SCIENCE,Execution,4,16
Execution,SCIENCE,Execution,16,9
Execution,SCIENCE,Execution,15,19
PACT,Wisla Krakow,PACT,14,16
mousesports,Astralis,mousesports,19,22
mousesports,mousesports,Astralis,9,16
mousesports,mousesports,Astralis,16,14
LiViD,LiViD,Chaos,2,16
LiViD,Chaos,LiViD,16,5
Juggernauts,Juggernauts,OutLawZ,16,12
Juggernauts,OutLawZ,Juggernauts,14,16
MDL All-Star chelo,MDL All-Star steel,MDL All-Star chelo,16,8
MDL All-Star steel,MDL All-Star chelo,MDL All-Star steel,13,16
Yalla,Yalla,pro100,4,16
pro100,pro100,Yalla,16,12
Goliath,Goliath,HellRaisers,6,16
Goliath,HellRaisers,Goliath,16,8
ViCi,NASR,ViCi,11,16
NASR,ViCi,NASR,16,6
ViCi,NASR,ViCi,16,19
MC,MC,ex-Genuine,7,16
MC,ex-Genuine,MC,14,16
ex-Genuine,MC,ex-Genuine,10,16
Buckets,Buckets,Legion,16,11
Buckets,Buckets,Legion,16,10
Corvidae,really weird,Corvidae,16,9
really weird,Corvidae,really weird,16,9
Corvidae,really weird,Corvidae,16,2
Alpha Red,Alpha Red,OneThree,16,11
OneThree,OneThree,Alpha Red,16,14
Alpha Red,Alpha Red,OneThree,9,16
Nemiga,POKAMOLODOY,Nemiga,13,16
POKAMOLODOY,POKAMOLODOY,Nemiga,4,16
PACT,PACT,Giants,16,13
PACT,PACT,Giants,16,10
Baecon,OFFSET,Baecon,16,8
Baecon,Baecon,OFFSET,16,11
Baecon,Baecon,OFFSET,6,16
Unique,Unique,SJ,16,13
SJ,SJ,Unique,16,14
Unique,SJ,Unique,16,3
pro100,pro100,HellRaisers,19,15
pro100,HellRaisers,pro100,12,16
BIG,Brute,BIG,14,16
BIG,Brute,BIG,10,16
GODLIKE,GODLIKE,Zorka,19,17
GODLIKE,Zorka,GODLIKE,16,8
Zorka,Zorka,GODLIKE,16,10
AGO,AGO,ARCY,16,13
ARCY,AGO,ARCY,16,7
R-Stars,R-Stars,Lynn Vision,16,12
Lynn Vision,Lynn Vision,R-Stars,7,16
Heroic,GamerLegion,Heroic,13,16
Heroic,GamerLegion,Heroic,16,9
Heroic,Heroic,GamerLegion,16,10
Izako Boars,Izako Boars,AVEZ,16,12
AVEZ,Izako Boars,AVEZ,12,16
AVEZ,AVEZ,Izako Boars,8,16
EXORS,Universe,EXORS,16,5
Universe,EXORS,Universe,17,19
Nordavind,Heretics,Nordavind,16,19
Heretics,Heretics,Nordavind,9,16
mousesports,mousesports,fnatic,16,11
mousesports,fnatic,mousesports,10,16
mousesports,mousesports,fnatic,16,11
OFFSET,OFFSET,eXploit,19,17
OFFSET,eXploit,OFFSET,16,8
eXploit,OFFSET,eXploit,16,8
AGO,AGO,Illuminar,16,12
Illuminar,AGO,Illuminar,12,16
AGO,Illuminar,AGO,16,2
Nemiga,Nemiga,Zorka,16,11
Zorka,Zorka,Nemiga,8,16
Nexus,cooL,Nexus,16,19
cooL,Nexus,cooL,16,9
ECLOT,ECLOT,Brute,9,16
Brute,Brute,ECLOT,8,16
Brute,ECLOT,Brute,17,19
PORCHA,PORCHA,100pinggods,6,16
100pinggods,PORCHA,100pinggods,13,16
HAVU,HAVU,GamerLegion,16,10
GamerLegion,GamerLegion,HAVU,16,13
HAVU,GamerLegion,HAVU,12,16
ARYO,ARYO,Knock Out,16,10
Izako Boars,PACT,Izako Boars,10,16
Izako Boars,PACT,Izako Boars,16,2
Izako Boars,Izako Boars,PACT,7,16
ARYO,ARYO,cooL,16,12
2K,Execution,2K,12,16
Execution,2K,Execution,16,7
Nexus,Nexus,ARYO,6,16
ARYO,ARYO,Nexus,16,13
ARYO,Nexus,ARYO,16,7
ARYO,ARYO,Nexus,9,16
Faint,Recon 5,Faint,16,3
Faint,Faint,Recon 5,8,16
Ground Zero,ex-Genuine,Ground Zero,10,16
ex-Genuine,Ground Zero,ex-Genuine,11,16
Ground Zero,ex-Genuine,Ground Zero,11,16
Cream,Cream,Sprout,6,16
Sprout,Cream,Sprout,11,16
D13,D13,BL4ZE,16,12
Darkhorse,Darkhorse,Bren,5,16
MAJESTY,SKADE,MAJESTY,16,8
SKADE,MAJESTY,SKADE,12,16
Mazaalai,Alpha Red,Mazaalai,18,22
EHOME,Az,EHOME,12,16
Heretics,Fierce,Heretics,11,16
Heretics,Fierce,Heretics,14,16
Winstrike,Winstrike,PACT,16,12
Winstrike,PACT,Winstrike,16,5
Winstrike,PACT,Winstrike,20,22
FATE,Ambush,FATE,16,7
Ambush,Ambush,FATE,9,16
FATE,Ambush,FATE,16,7
Defusekids,Unicorns of Love,Defusekids,18,22
Unicorns of Love,Defusekids,Unicorns of Love,12,16
Defusekids,Defusekids,Unicorns of Love,7,16
AGF,AGF,Wisla Krakow,22,19
Wisla Krakow,Wisla Krakow,AGF,16,14
AGF,Wisla Krakow,AGF,13,16
Virtus.pro,Virtus.pro,OFFSET,9,16
Virtus.pro,OFFSET,Virtus.pro,10,16
OFFSET,OFFSET,Virtus.pro,9,16
Project X,Project X,Espada,16,12
Espada,Project X,Espada,14,16
Project X,Espada,Project X,10,16
Ambush,GamerLegion,Ambush,13,16
GamerLegion,GamerLegion,Ambush,16,14
Ambush,GamerLegion,Ambush,16,4
Defusekids,Defusekids,PRINCEADIL,16,14
Defusekids,PRINCEADIL,Defusekids,14,16
AGF,PACT,AGF,14,16
AGF,AGF,PACT,4,16
PACT,PACT,AGF,16,14
Rebirth,Bushido Boyz,Rebirth,16,7
Bushido Boyz,Rebirth,Bushido Boyz,11,16
iNTACT,Just Swing,iNTACT,12,16
iNTACT,iNTACT,Just Swing,16,12
Thunder Logic,Faint,Thunder Logic,11,16
Faint,Thunder Logic,Faint,16,5
D13,Mazaalai,D13,16,7
D13,Mazaalai,D13,11,16
D13,D13,Mazaalai,7,16
SJ,HAVU,SJ,16,5
HAVU,SJ,HAVU,12,16
KPI,OFFSET,KPI,13,16
KPI,KPI,OFFSET,16,11
GamerLegion,GamerLegion,Virtus.pro,7,16
GamerLegion,Virtus.pro,GamerLegion,16,3
LDLC,TheDice,LDLC,13,16
TheDice,LDLC,TheDice,12,16
LDLC,TheDice,LDLC,17,19
Owned,Owned,Movistar Riders,16,12
Owned,Movistar Riders,Owned,14,16
Spirit,Spirit,GODSENT,16,13
Spirit,GODSENT,Spirit,16,7
GODSENT,Spirit,GODSENT,16,8
PACT,PACT,Unicorns of Love,16,12
Unicorns of Love,Unicorns of Love,PACT,16,14
PACT,Unicorns of Love,PACT,16,7
Wisla Krakow,Ambush,Wisla Krakow,13,16
Ambush,Wisla Krakow,Ambush,16,9
AGF,FATE,AGF,16,3
AGF,FATE,AGF,10,16
FATE,AGF,FATE,10,16
OFFSET,OFFSET,Defusekids,16,11
OFFSET,Defusekids,OFFSET,16,4
Defusekids,Defusekids,OFFSET,16,10
Vexed,Phoenix,Vexed,10,16
Vexed,Vexed,Phoenix,16,10
Defusekids,Wisla Krakow,Defusekids,14,16
Wisla Krakow,Defusekids,Wisla Krakow,14,16
Wisla Krakow,Defusekids,Wisla Krakow,13,16
Alma,Alma,FURIA Inagame,9,16
Alma,Alma,FURIA Inagame,16,12
FURIA Inagame,FURIA Inagame,Alma,8,16
