Winner,Team1,Team2,Team1_Score,Team2_Score
Bet at Home,plan-B,Bet at Home,11,16
plan-B,Bet at Home,plan-B,12,16
Bet at Home,Bet at Home,plan-B,16,10
Orange,Orange,MVP.karnal,19,17
Orange,MVP.karnal,Orange,15,19
Bet at Home,Bet at Home,ALPENKINGZ,8,16
Bet at Home,ALPENKINGZ,Bet at Home,16,5
Quantum Bellator Fire,FaZe,Quantum Bellator Fire,16,6
Envy,Flash,Envy,13,16
Space Soldiers,Space Soldiers,Misfits,16,13
Sprout,Natus Vincere,Sprout,16,3
G2,G2,Vega Squadron,19,16
Liquid,Liquid,Renegades,16,14
FlipSid3,AVANGAR,FlipSid3,16,7
mousesports,Cloud9,mousesports,16,5
AVANGAR,Misfits,AVANGAR,13,16
Vega Squadron,Liquid,Vega Squadron,14,16
Natus Vincere,Natus Vincere,FaZe,4,16
Space Soldiers,mousesports,Space Soldiers,17,19
Renegades,Sprout,Renegades,10,16
Quantum Bellator Fire,Quantum Bellator Fire,Envy,16,12
Renegades,Renegades,mousesports,4,16
AVANGAR,Quantum Bellator Fire,AVANGAR,16,6
Liquid,Natus Vincere,Liquid,16,5
AVANGAR,AVANGAR,Renegades,16,10
Liquid,Liquid,AVANGAR,19,15
Candy Camel,Beyond,Candy Camel,11,16
Signature,Eclipse,Signature,13,16
Valiance,Valiance,PRIDE,9,16
PRIDE,PRIDE,Valiance,16,13
AGO,AGO,Spirit,22,19
AGO,Spirit,AGO,12,16
North Academy,Red Reserve,North Academy,12,16
North Academy,Red Reserve,North Academy,16,6
North Academy,Red Reserve,North Academy,17,19
Main Street,Main Street,Fragsters,6,16
Ambush,Ambush,Demise,22,18
aAa,eXtatus,aAa,16,8
eXtatus,eXtatus,aAa,16,13
Main Street,Demise,Main Street,10,16
Fragsters,Fragsters,Ambush,16,13
Kinguin,Windigo,Kinguin,16,4
Windigo,Windigo,Kinguin,16,11
Main Street,Ambush,Main Street,16,4
Ambush,Ambush,Main Street,16,13
eXtatus,ALTERNATE aTTaX,eXtatus,12,16
ALTERNATE aTTaX,eXtatus,ALTERNATE aTTaX,11,16
eXtatus,ALTERNATE aTTaX,eXtatus,13,16
Candy Camel,Signature,Candy Camel,16,9
Signature,Signature,Candy Camel,16,1
Spirit,Valiance,Spirit,16,4
Spirit,Spirit,Valiance,16,11
Valiance,Spirit,Valiance,16,7
forZe,forZe,EPG,16,13
ALTERNATE aTTaX,ALTERNATE aTTaX,Tricked,16,12
Tricked,ALTERNATE aTTaX,Tricked,14,16
Tricked,Tricked,ALTERNATE aTTaX,5,16
MANS NOT HOT,MANS NOT HOT,Enyoy,16,11
MANS NOT HOT,Enyoy,MANS NOT HOT,10,16
LPSP,LPSP,Odense,19,17
GoldenGitte,GoldenGitte,Serenic,19,15
Serenic,Odense,Serenic,16,7
GoldenGitte,GoldenGitte,LPSP,16,12
AGO,PRIDE,AGO,13,16
AGO,AGO,PRIDE,19,16
ALTERNATE aTTaX,ALTERNATE aTTaX,Red Reserve,19,17
Red Reserve,Red Reserve,ALTERNATE aTTaX,16,12
Red Reserve,Red Reserve,ALTERNATE aTTaX,16,14
Odense,LPSP,Odense,16,9
Odense,LPSP,Odense,16,4
THE MIGHTY DUCKS,Corvidae,THE MIGHTY DUCKS,16,7
SI,SI,merry,16,12
Corvidae,SI,Corvidae,17,19
Corvidae,Corvidae,SI,16,14
PRIDE,Spirit,PRIDE,16,7
Spirit,Spirit,PRIDE,16,12
pro100,GoodJob,pro100,16,19
Kinguin,Kinguin,Enyoy,16,11
Kinguin,Kinguin,Enyoy,6,16
Kinguin,Kinguin,Enyoy,16,10
Spirit,Spirit,forZe,6,16
Fragsters,LPSP,Fragsters,16,9
Fragsters,LPSP,Fragsters,16,9
Ambush,Ambush,GoldenGitte,16,14
GoldenGitte,GoldenGitte,Ambush,16,12
GoldenGitte,Ambush,GoldenGitte,10,16
North Academy,Red Reserve,North Academy,16,9
Red Reserve,North Academy,Red Reserve,13,16
eXtatus,eXtatus,Kinguin,4,16
eXtatus,Kinguin,eXtatus,16,9
MANS NOT HOT,Windigo,MANS NOT HOT,13,16
Windigo,Windigo,MANS NOT HOT,16,14
