Date,Teams,Score,Map,Event,Series
15-1-19,"['Isurus', 'INTZ.Academy']","['8', '16']",Dust2,Dell Gaming Liga Pro Season 1 - #1 JAN/19,19338
16-1-19,"['W7M', 'Santos']","['16', '3']",Mirage,Dell Gaming Liga Pro Season 1 - #1 JAN/19,19337
16-1-19,"['Santos', 'W7M']","['8', '16']",Overpass,Dell Gaming Liga Pro Season 1 - #1 JAN/19,19337
16-1-19,"['Spacestation', 'Win Scrims Not Matches']","['16', '12']",Cache,ESEA MDL Season 30 North America,19336
16-1-19,"['Singularity', 'Final Feature']","['14', '16']",Mirage,ESEA MDL Season 30 North America,19335
16-1-19,"['AVANT', 'Skyfire']","['16', '2']",Mirage,ESEA MDL Season 30 Australia,19334
16-1-19,"['Syman', 'Gambit']","['16', '12']",Train,CIS Minor - IEM Katowice 2019,19333
16-1-19,"['Spirit', 'Nemiga']","['19', '15']",Mirage,CIS Minor - IEM Katowice 2019,19332
16-1-19,"['Ground Zero', 'MC']","['16', '7']",Cache,ESEA MDL Season 30 Australia,19331
16-1-19,"['Paradox', 'Astral Influence']","['16', '7']",Overpass,ESEA MDL Season 30 Australia,19330
16-1-19,"['Chiefs', 'Content']","['16', '1']",Cache,ESEA MDL Season 30 Australia,19329
16-1-19,"['pro100', 'AVANGAR']","['5', '16']",Dust2,CIS Minor - IEM Katowice 2019,19328
16-1-19,"['Runtime', 'Winstrike']","['6', '16']",Dust2,CIS Minor - IEM Katowice 2019,19327
16-1-19,"['MC', 'AVANT']","['16', '11']",Dust2,ESEA MDL Season 30 Australia,19326
16-1-19,"['Spirit', 'Syman']","['16', '11']",Dust2,CIS Minor - IEM Katowice 2019,19325
16-1-19,"['Spirit', 'Syman']","['22', '18']",Mirage,CIS Minor - IEM Katowice 2019,19325
16-1-19,"['AVANGAR', 'Winstrike']","['16', '5']",Dust2,CIS Minor - IEM Katowice 2019,19324
16-1-19,"['AVANGAR', 'Winstrike']","['13', '16']",Cache,CIS Minor - IEM Katowice 2019,19324
16-1-19,"['AVANGAR', 'Winstrike']","['7', '16']",Train,CIS Minor - IEM Katowice 2019,19324
16-1-19,"['ALTERNATE aTTaX', 'x6tence Galaxy']","['11', '16']",Overpass,United Masters League,19323
16-1-19,"['x6tence Galaxy', 'ALTERNATE aTTaX']","['16', '10']",Inferno,United Masters League,19323
16-1-19,"['OpTic', 'Vitality']","['8', '16']",Dust2,Europe Minor - IEM Katowice 2019,19322
16-1-19,"['Valiance', 'mousesports']","['16', '14']",Mirage,Europe Minor - IEM Katowice 2019,19321
16-1-19,"['ex-Space Soldiers', 'ENCE']","['6', '16']",Train,Europe Minor - IEM Katowice 2019,19320
16-1-19,"['Vexed', 'LDLC']","['16', '14']",Inferno,United Masters League,19319
16-1-19,"['LDLC', 'Vexed']","['12', '16']",Mirage,United Masters League,19319
16-1-19,"['North', 'Windigo']","['6', '16']",Overpass,Europe Minor - IEM Katowice 2019,19318
16-1-19,"['Valiance', 'Vitality']","['15', '19']",Mirage,Europe Minor - IEM Katowice 2019,19317
16-1-19,"['Valiance', 'Vitality']","['16', '11']",Inferno,Europe Minor - IEM Katowice 2019,19317
16-1-19,"['Vitality', 'Valiance']","['16', '4']",Dust2,Europe Minor - IEM Katowice 2019,19317
16-1-19,"['ex-Fragsters', 'forZe']","['10', '16']",Inferno,ESEA MDL Season 30 Europe,19316
